title,price,rating,reviews,availability,url,numeric_price
"boAt Airdopes Plus 311 (2025 Launch), Glass Design, Dual Mics ENx, Fast Charge, 50 Hrs Battery, Low Latency, IPX4, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)",₹899.00,4.1 out of 5 stars,"2,046 ratings",In stock,https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0DZXTVL6V/ref=sr_1_11?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-11,899.0
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, ENx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic Earphones(Active Black)",₹699.00,3.8 out of 5 stars,49 ratings,In stock,https://www.amazon.in/boAt-Rockerz-Playback-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=sr_1_12?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-12,699.0
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),₹419.00,4.1 out of 5 stars,"177,625 ratings",In stock,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_13?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-13,419.0
"boAt Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Swedish White)",₹799.00,4.0 out of 5 stars,"2,066 ratings",In stock,https://www.amazon.in/boAt-Airdopes-Alpha-Wireless-Earbuds/dp/B0C413GYVC/ref=sr_1_14?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-14,799.0
"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Sonic Silver)",₹699.00,3.3 out of 5 stars,"7,207 ratings",In stock,https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWKD8HW/ref=sr_1_15?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-15,699.0
"boAt Airdopes 131/138 with 60 Hrs Playback, ASAP Charge Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black)",₹699.00,4.0 out of 5 stars,"1,417 ratings",In stock,https://www.amazon.in/Airdopes-131-Technology-Bluetooth-Immersive/dp/B088FKCD4J/ref=sr_1_16?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-16,699.0
"boAt Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic(Dark Cyan)",₹799.00,4.0 out of 5 stars,"2,066 ratings",In stock,https://www.amazon.in/boAt-Airdopes-Alpha-Wireless-Earbuds/dp/B0C411BWXD/ref=sr_1_17?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-17,799.0
"boAt Rockerz 235 Pro Wireless Bluetooth Neckband in Ear Earphone, Upto 20 hrs of Playtime, Beast Mode, Low Latency, IPX5 Water & Sweat Resistance, ENx Technology, Bluetooth v5.2(Active Black)",₹799.00,4.1 out of 5 stars,562 ratings,In stock,https://www.amazon.in/boAt-Rockerz-235-Pro-Resistance/dp/B0CP3N5F5B/ref=sr_1_18?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-18,799.0
"boAt Nirvana Ion, 120HRS Battery, Crystal Bionic Sound w/Dual EQ Modes, 4Mics ENx, App Support, Low Latency, IPX4, v.5.2 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)","₹1,699.00",4.0 out of 5 stars,"18,667 ratings",In stock,https://www.amazon.in/boAt-Nirvana-Technology-Detection-Bluetooth/dp/B0BW8TXJJ2/ref=sr_1_19?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-19,1699.0
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)","₹1,799.00",4.1 out of 5 stars,"1,411 ratings",In stock,https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_20?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-20,1799.0
